Symbol	Description
BSGW	Nikkei225 14500 Mb Epw160909
BSHW	Ezion Holdings W200424
BSIW	Hsi 22200 Mb Ecw160530
BSJW	Hsi 21000 Mb Epw160530
BSKZ	Perennial S$280m4.55%n200429
BSL	Raffles Medical Group Ltd
BSMW	Hsi 20400 Ub Ecw160929
BSNW	Hsi 21200 Ub Ecw160929
BSOW	Hsi 22400 Ub Ecw161028
BSPW	Hsi 23800 Ub Ecw161229
BSQW	Hsi 19400 Ub Epw160929
BSRW	Hscei 9400 Ub Ecw160929
BSSW	Hscei 10000 Ub Ecw160929
BSTW	Hscei 10800 Ub Ecw161229
BSUW	Sti 2950 Mb Ecw160831
BSVW	Sti 2800 Mb Epw160831
BSWW	Hsi 21800 Mb Ecw160629
BSXW	Hsi 21000 Mb Ecw160629
BSYW	Hsi 20600 Mb Epw160629
BSZW	Hsi 21400 Mb Epw160629
BTAW	Hsi 20400 Vt Epw160629
BTBW	Dbs Vt Ecw161212
BTCW	Ocbc Bk Vt Ecw161212
BTDW	Uob Vt Ecw161212
BTE	Bund Center Investment Ltd
BTF	Debao Property Development Ltd
BTG	Hg Metal Manufacturing Ltd
BTHW	Hsi 20200 Mb Ecw160629a
BTIW	Hsi 19600 Mb Epw160629a
BTJ	A-sonic Aerospace Limited
BTKW	Hsi 22000 Mb Ecw160929
BTLW	Hsi 19000 Mb Epw160929
BTNZ	Oxley Mtn S$150m 5.15%b200518
BTOU	Manulife Us Reit
BTP	Baker Technology Limited
BTQW	Hsi 19400 Mb Ecw160629
BTRW	Hsi 18800 Mb Epw160629
BTSW	Hsi 21600 Mb Ecw161028
BTTW	Hsi 22600 Mb Ecw161028
BTUR	Addvalue Technologies Ltd R
BUAW	Hsi 20600 Mb Ecw160728
BUBW	Hsi 20000 Mb Epw160728
BUCW	Uob Mb Ecw161031
BUDW	Dbs Mb Ecw161031
C04	Casa Holdings Limited
C05	Chemical Industries (f.e.) Ltd
C06	Csc Holdings Ltd
C07	Jardine Cycle & Carriage Ltd
C09	City Developments Limited
C0Z	China Hongcheng Holdings Ltd
C13	Ch Offshore Ltd
C14	Cwt Limited
C22	China Merchants Hldgs(pacific)
c29	Chip Eng Seng Corporation Ltd
C2J	Sunmart Holdings Limited
C2PU	Parkwaylife Reit
C31	Capitaland Limited
C33	Chuan Hup Holdings Limited
C38U	Capitamall Trust
C41	Cortina Holdings Limited
C50	Cheung Woh Technologies Ltd
C52	Comfortdelgro Corporation Ltd
C56	Celestial Nutrifoods Limited
C61U	Capitacommercial Trust
C6L	Singapore Airlines Ltd
C70	City Developments Ltd Nccps
C71	China Paper Holdings Limited
C76	Creative Technology Ltd
C86	China Sun Biochem Tech Gp Co.
C8R	Jiutian Chemical Group Limited
C92	China Haida Ltd.
C9Q	Sinostar Pec Holdings Limited
CC3	Starhub Ltd
CH8	China Sunsine Chem Hldgs Ltd.
CW4	Lyxor Japan (topix) Fund 10
CY6U	Ascendas India Trust
CZ4	Dutech Holdings Limited
D01	Dairy Farm Int'l Holdings Ltd
D03	Del Monte Pacific Limited
D05	Dbs Group Holdings Ltd
D07	Spdr Djia Etf Trust
D11	Design Studio Furniture Mfrltd
D1R	Ara Asset Management Limited
D2U	Cacola Furniture Intl Limited
D38	Cdw Holding Limited
D4N	China New Town Devt Co Limited
D50	China Great Land Holdings Ltd.
D5IU	Lippo Malls Indo Retail Trust
D5N	Z-obee Holdings Limited
D6U	Dynamic Colours Limited
D79	C&g Env Protect Hldgs Ltd
D8DU	First Ship Lease Trust
DK2	Fibrechem Technologies Ncps
DM0	Psc Corporation Ltd
DU4	Mermaid Maritime Public Co Ltd
E02	Eu Yan Sang International Ltd
E16	Elec & Eltek Int Co Ltd
E23	Europtronic Group Ltd
E27	Eucon Holding Limited
E28	Frencken Group Limited
E3B	Wee Hur Holdings Ltd.
E5H	Golden Agri-resources Ltd
E6R	Samko Timber Limited
E8Z	Roxy-pacific Holdings Limited
E90	China Sky Chem Fibre Co. Ltd.
E9L	Joyas International Hldgs Ltd
EB5	First Resources Limited
EB7	Ktl Global Limited
EE6	Mercator Lines (singapore) Ltd
EG0	Jes International Holdings Ltd
EH5	United Overseas Australia Ltd
ER0	Ksh Holdings Limited
ES3	Sti Etf
F03	Food Empire Holdings Limited
F10	F J Benjamin Holdings Ltd
F11	Fung Choi Media Group Limited
F12	Fibrechem Technologies Limited
F13	Fu Yu Corporation Ltd
F17	Guocoland Limited
F18	Full Apex (holdings) Limited
F1E	Low Keng Huat (singapore) Ltd
F25U	Fortune Real Estate Inv Trust
F31	Fragrance Group Limited
F34	Wilmar International Limited
F3V	Sino Construction Limited
F83	Cosco Corporation (s) Ltd
F86	Cougar Logistics Corpn Ltd
F99	Fraser And Neave Limited
F9D	Boustead Singapore Limited
FO8	Eratat Lifestyle Limited
FP1	Dapai Intl Hldg Co. Ltd.
FQ7	Jasper Investments Limited
FQ8	China Sports Intl Limited
G07	Great Eastern Hldgs Ltd
G08	Gp Batteries Int Ltd
G0I	Nam Lee Pressed Metal Inds Ltd
G10	Yuexiu Property Co Limited
G11	Global Tech (hldgs) Limited
G13	Genting Singapore Plc
G1K	Lyxor Etf Msci Asia Apex 50 10
G1M	Lyxor Etf Msci Malaysia 10
G1N	Lyxor Etf Msci India 10
G1O	Lyxor Commodities Crbnonenergy
G20	Gp Industries Limited
G3B	Dbs Singapore Sti Etf
G41	G. K. Goh Holdings Limited
G50	Grand Banks Yachts Limited
G54	China Essence Group Ltd.
G5X	Anwell Technologies Limited
G86	China Milk Products Group Ltd
G92	China Aviation Oil(s) Corp Ltd
GG0	Ocbccapcorp(2008) 5.1%ncps 100
GU5	China Kunda Tech Holdings Ltd
H02	Haw Par Corp Ltd
H07	Stamford Land Corporation Ltd
H12	Hotel Royal Ltd
H13	Ho Bee Investment Limited
H15	Hotel Properties Ltd
H16	Huan Hsin Holdings Ltd
H17	Hi-p International Limited
H18	Hotel Grand Central Ltd
H19	Hwa Hong Corporation Limited
H1N	Lyxor Etf Msci Emerging Mkt 10
H1O	Lyxoretf Msci Em Latin America
H1P	Lyxor Etf Msci World 10
